,Speaker,Speech,Date,Type,Gender,Party,Category
678,SHRI OM PAVAN RAJENIMBALKAR,"Hon. Speaker Sir, an amount  of 10,000 rupees per hectare was deposited in the accounts of farmers as a  relief measure to offset the heavy losses faced by the farmers due to heavy  rainfall during October, 2020 in my Lok Sabha constituency.  Assistance of  25,000 rupees per hectare was provided to farmers whose lands were  washed away. But, the farmers have received no assistance at all from the  Union Government.  I request the Union Government that it should also grant  immediate assistance of 25,000 rupees to all the affected farmers.     Hon. Speaker, thousands of farmers from my constituency had insured  their Kharif crops under the Pradhan Mantri Fasal Bima Yojna.  But, there is a  difficult provision that information about crop damage has to be given within  72 hours on the portal of the insurance company.  There was no electricity in  the villages for 20 or 30 days as the electric poles were washed away due to  which the farmers could not register their complaints online on the portal of  the insurance company and were not able to claim insurance. I urge the  Government to scrap the provision of registering online complaint within 72  hours and order the company concerned to give the insurance amount to the  farmers.","Monday, February 8, 2021",Union Budget,M,Shiv Sena,Blame
679,SHRIMATI NAVNEET RAVI RANA,"During Corona, 80 crore people  benefited from the Pradhan Mantri Garib Kalyan Anna Yojana in the country  and more than 7 crore people have benefited from this scheme in my  Constituency. In my state Maharashtra, more than 7 lakh mothers and women  have benefited under the Ujjwala scheme. In Maharashtra the Central  Government has provided the highest number of PPE kits, ventilators,  ambulances, sanitizers, beds, masks and 42 corona testing labs and many  more facilities from the PM Cares Fund.  Due to opening of more than 500  generic medicine outlets under the Pradhan Mantri Jan Aushadhi Yojana  aimed at providing affordable medicine in Maharashtra people are getting  cheaper treatment. People are benefiting from the AIIMS established in  Nagpur. In Maharashtra, 12 lakh families have benefited under the Pradhan  Mantri Awas Yojana. Under this scheme, housing facility has been provided to   50 thousand people in my district. Jalyukt Shivar Scheme was implemented in  Maharashtra. Under this scheme, more than six lakh projects were completed  in 22 thousand villages. It is unfortunate that the State Government has put  this scheme in cold bag. Today, an FIR has been filed against two great  personalities. In the Corona period, the farmers of Maharashtra got special  benefit through the Kisan Rail. The Government has provided free vaccine to  doctors and others. I whole heartedly thank the Government for this.","Monday, February 8, 2021",Union Budget,F,Independent,Appreciate
680,SHRI MANOJ KOTAK,"Regarding farmers agitation, our Government  has the highest sympathy towards farmers and 12 rounds of meeting have  been held for the solution. It is my humble request to all the farmers/ farmers‘  leaders, who are agitating in the Delhi Border, not to think oppositely. We  stood first in supporting the world in difficult time, either by medicine or by  vaccine. We have created the post of ‗Chief of Defence Staff‘.  We are also  working on ‗Atmanirbhar Bharat‘ on defence production and we are working  on increasing the participation of women in the Defence Department.","Monday, February 8, 2021",Union Budget,M,BJP,Neutral
681,SHRIMATI SUPRIYA SADANAND SULE,"In the last quarter of 2020- 21, the prices of petrol and diesel were increased drastically, therefore, the  Centre should consider reducing the excise duty on petrol and diesel. Given  the large-scale protests by farmers, these farm laws must be withdrawn and  new Bills must be drafted taking into consideration the farmers‘ concerns and  demands with the promise of continuation of MSP for farmers. I urge that the  MSP recommended by the Swaminathan Committee is to be calculated using  the more comprehensive C2 cost formulae and not the A2+FL formulae used  by the Centre. If we are to ensure sufficient supply of grains to the needy  poor, under-privileged and marginalised sections, food grains above the  minimum buffer requirement with the FCI must be mandated to be released  during times of grain shortage and price rise. The compensation arrear for all  States combined was Rs. 1,51,365 crore and delay in the devolution of funds  from the Centre has severely limited the States‘ ability to spend on their  welfare and development including keeping COVID-19 under control. The  Centre must clearly specify the timeline by when it will transfer the GST  compensation cess to states.  I would like to question the   Centre as to what tangible results have been achieved so far through ‗Make in  India‘ initiative and efforts being taken to make the Indian defence  manufacturing companies self-reliant in manufacture of advanced aircraft  (technical know-how) and to further the technological advancement at  Hindustan Aeronautical Limited (HAL) and other defence public sector  enterprises. I urge the Centre to consult all the stakeholders before drafting  policies and uphold the federal structure of our economy.","Monday, February 8, 2021",Union Budget,F,NCP,Call For Action
682,SHRI GURJEET SINGH AUJLA,"The Government brought three black  laws when Corona pandemic was on the rise and got it passed without  consensus.  Ever since then, the farmers of Punjab and Haryana have been  protesting along with farmers from other states like U.P.  The black laws  pertaining to provisions related to marketing were anti-farmers.  The interests  of the farmers were sold to the capitalists and corporate.  They must be taken  back at the earliest.  The land belongs to the farmers.  He takes loan for  cultivating the land.  But cost of food grains is fixed by the Government.   Anyone should have the right to purchase farmers‘ food grains.  Whether it is  the middlemen or private players.  You have imposed black laws on the  farmers.  But we strongly condemn the sad incidents that took place at Red  Fort on 26.01.2021.  We have great regard for the tricolor. The tricolor was  granted to you by Punjab. Today, the Press is under pressure from the  Government and the capitalists.  This Government has curbed the freedom of  the Press.  The capitalists have enslaved the executive, the judiciary and the  legislature.  The need of the hour is to free these institutions from the clutches  of capitalists.  The Government must take back all the black laws pertaining to  agriculture at the earliest and listen to the genuine demands of the farmers.","Monday, February 8, 2021",Union Budget,M,INC,Blame
683,DR. AMOL RAMSING KOLHE,"Hon. President has mentioned about  the construction of a new Parliament Building in his Address.  It is a matter of  pride but keeping in view the priority of the country, I request the Government  to reconsider its priorities, our first priority should be hospitals and only then  new building of Parliament should be constructed.  As such, no one has made  demand for construction of new building of this Parliament, but demand for  development works in every Parliamentary Constituency under MPLAD Fund  is being made.  So I request the Government to restore the MPLAD fund  immediately.  Coordination between the central and state Government has  also been mentioned in the Address.  An amount of  Rs. 25,000/-  crore of  GST  is yet to be released to Maharashtra Government.  It should be released  immediately.  This Government had promised to provide employment to  two  crore youth  every year but instead they lost their jobs.  There is mention of  Atmnirbhar Bharat, self reliant India in the Address.   Everyone felt proud when  this Government said that  it won‘t be let this at stake.  The future generations will  never forgive us if  under the guise of a free economy, we promote crony capitalism  and hand over the resources of the country to a few selected capitalists. There is  mention of a number of schemes for farmers but our farmers are staging protest at  borders of Delhi.  Violence cannot and should not be supported, but the conspiracy  to defame the movement is condemnable.  I would request the Government to solve  this problem sympathetically in the interest of farmers.","Monday, February 8, 2021",Union Budget,M,NCP,Call For Action
684,SHRI LAVU SRIKRISHNA DEVARAYALU,"We are discussing the  Major Port Autorities Bill, 2020. I understand that there is a need for improving the  management of major ports. The Bill adopts a three-step approach to achieve its  objective. First step is through a Board representing the Centre, the States,  Railways, Defence, Customs and independent members. Second step is by giving  greater autonomy to this Board to make master plans. Third step is by creating  transparency in the functioning of the ports. It is literally taking away the  involvement of the State Government from the Central Government wherein the  Board can actually decide on development of the port’s master plan and  everything. So, we have to take States’ interest also into consideration. The  fishermen and the communities which are dependent on the inland waterways have  to be taken into consideration. A pilot project can be taken up by the Government  in Visakhapatnam under the Sagarmala Project. We as the YSR Congress Party  repeat our support for this Bill.","Wednesday, September 23, 2020",Union Budget,M,YSR Congress,Call For Action
685,SHRI ANUBHAV MOHANTY,"While supporting the Bill, I would like to  make a request to the hon. Minister to rename Paradip Port after Odisha’s Biju  Babu to honour his contribution to developing the Paradip Port. The maritime  growth story started by Biju Babu has been taken to new heights by current Odisha  Chief Minister, who has played a pivotal role in the port-led development of  Odisha be it setting up Gopalpur port, Dhamra port, Subarnarekha port, or setting  up a Maritime Board in the recent times.","Wednesday, September 23, 2020",Union Budget,M,BJD,Appreciate
686,SHRI KAUSHLENDRA KUMAR,"This Bill has been brought in the  House by the Government with a view to extending and promoting the maritime  transportation. It will faclitate and simplify India’s trade and commerce with  several countries of the world. With the passage of this Bill, the maritime  transportation system of the country will undergo a change at international level.  At the same time, with the enactment of this legislation the Major Port Trust  Act,  1963 will stand repealed and a totally autonomous and independent the Major Port  Authorities will come into existence.","Wednesday, September 23, 2020",Union Budget,M,JDU,Appreciate
687,SHRIMATI DARSHANA VIKRAM JARDOSH,"The Bill aims to renew  the administration, control, and management of major ports in India. At present,  there are 12 major ports and about  200 non-major ports functioning to meet the  ever-increasing trade needs in the country.  My parliamentary Constituency Surat  is a big industrial hub for trade. Besides, a large industrial belt is also located at  Hazira near Surat. This Bill will give impetus to the development of a large and  new port here. This Bill will create world-class port infrastructure in the country.  The Maritime Agenda for the year 2020 has recommended closure of Enterprise  Resource Planning covering functional areas including port operations.  Based on  this recommendation, the five ports have been selected namely Mumbai,  Deendayal Kandla,  Kolkata,  Paradip, and Chennai. The proposed changes in the  Bill will greatly improve the administration of ports. The Bill will usher in a new  era in the field of administration of major ports.","Wednesday, September 23, 2020",Union Budget,F,BJP,Appreciate
688,SHRI GOPAL SHETTY,"I would like to speak about certain salient  features of this Bill. It has become very difficult to compete in the emerging global  market, therefore, our Government has brought this amendment. It will have 13  members with a provision of four additional independent members.  There were  several members in the old board who had conflict of interest.  Such members have  now been dropped from the Board.  This board will be under the ambit of CAG.   An internal dispute settlement process has been put in place which will facilitate  internal resolution of the disputes in ports itself.  This Board has also been  authorized to obtain 50 per cent loan.  I conclude with my support to this Bill.","Wednesday, September 23, 2020",Union Budget,M,BJP,Appreciate
689,SHRI PINAKI MISRA,"Now, hon. Minister was giving figures of census.   Perhaps you remember that several Members were requested to include Punjabi  language also in this Bill.  ","Tuesday, September 22, 2020",Union Budget,M,BJD,Neutral
690,SHRI MARGANI BHARAT,"I suggest for consideration of the hon.  Minister to take up the registration of gig workers and platform workers on a  mission mode so that we can see all of them covered under the social security  benefits. With regard to the constitution of the Board of Trustees of the EPFO, I  suggest to appoint 15 Members from the State Governments on rotation basis so  that all the States would be given the opportunity. I request the Government to look  into the matter of superannuated bank employees and quickly update their records.  The workers and the unions have been opposing Clause 28 (1) of this Bill which  says that any establishment which employs less than 300 workers can hire and fire  workers without any permission from the Government. This Clause should be  withdrawn.  My next point is that the companies should not be allowed to hire  people only during the season and fire them once the work is over. Even in  Government undertakings, employees are being appointed only on contract basis. I  request the Government of India to absorb them permanently in their organization.  There are only 38 ESI empaneled private hospitals in Andhra Pradesh. More  private hospitals are needed to be empaneled. New ESI Hospitals were sanctioned  for Kakinada, Rajahmundry, Guntur, Nellore, Visakhapatnam and Vizianagaram. I  would request the hon. Minister to kindly share the present status of these hospitals  which are to be started.","Tuesday, September 22, 2020",Union Budget,M,YSR Congress,Call For Action
691,DR. VIRENDRA KUMAR,"A large number of Indian people comprise of  labourers, workers and those engaged in commercial establishments. The  Government has made a detailed discussion on the 29 Central Labour Laws which  govern the wage security, social security and better working conditions for all  these people and all the provisions relating thereto have been contained. For the  first time in the country, our hon. Prime Minister has taken a revolutionary  decision to incorporate more than two dozen labour laws into four laws. This will  promote e-governance. When these laws will be implemented, it will be evaluated  continuously. I believe that whatever deficiencies will be there,  immediate action  will be taken. The provisions of this Bill would provide such arrangements that  contractors will not be able to make any irregularity. If there is any negligence,  it  will be the responsibility of the principal employer to pay all the money to the  workers. There is also a provision for the protection of workers working in various  sectors. These bills will be a milestone in the welfare of labourers in the coming  time.","Tuesday, September 22, 2020",Union Budget,M,BJP,Appreciate
692,SHRI DILESHWAR KAMAIT,"Through these Codes, 13  important  central labour laws have been simplified and rationalised by merging together.  Better working conditions and health facilities at the workplaces will also play an  important role in the welfare of workers as well as the economic development of  the country. The nation will be more productive with a healthy workforce . In this  code, the workers will also be given the benefit of social security like permanent  employees. The code also provides for the constitution of a security committee.  There is also a provision for the convenience of women employees. With the  implementation of these three important codes, the labourers will be happy,   industrial relations will be cordial, and production increases.","Tuesday, September 22, 2020",Union Budget,M,JDU,Appreciate
693,SHRI DILIP GHOSH,"This law has been brought by the Government to  protect the interests of industries, industrialists, and labourers of the country. I  belong to Bengal. There is  tea industry in the north of Bengal,  the jute industry in  the south, and the coal industry in the border area. The condition of these three  industries is also poor and lakhs of employees associated with the tea industry are  in a miserable condition. Unfortunately, today's State Government is giving 20  percent of the plantation land for real-estate development, petrol pumps, etc. But  there is not even an inch of land for the labourers. So, they do not get the facilities  of the Central Government schemes. They also do not get the facility of a housing  scheme. Despite our Hon‟ble Prime Minister's repeated insistence, many industries  have retrenched the labourers. Therefore, the Bill provides for a salary of at least  the last 15 days for the skill development of the one who will be removed.  The  labourers will also have to contribute to the industry by maintaining discipline.  This will contribute in the development of the country. Due to this law reform,  notices will have to be given at least 60 days before the strike. The Bill takes care  of the workers of all industries. This will bring transparency in the labour law and  protect the interests of labour, industry, and industrialists all over the country.","Tuesday, September 22, 2020",Union Budget,M,BJP,Issue
694,SHRI JAYADEV GALLA,"There is no doubt that this is a humongous  exercise to bring nearly 45 enactments together.  So, I compliment the Government  for its stupendous work on these Codes.  I will start with the Social Security Code.   In this regard, I suggest that computation of PF should be calculated on basic  wages and not to include commission or performance-based bonus, businesses  expenses, leave encashment, etc.  So, they may be removed from the definition of  'wages'.  Similarly, under Clause 142, the Code is making Aadhar mandatory to  receive benefits.  My question is, is it not a violation to the prevailing Supreme  Court judgement?  The Code is also silent on international workers.  There is no  definition on 'international workers'.  There is clarification needed on this also.   While we welcome fixed term employment, we also foresee a danger of companies  avoiding permanent employment. So, it is good to add a minimum and maximum  tenure for fixed term employment.  Again, the Code says that the rescaling fund  needs to be created with the Government.  So, the Ministry should also make its  contribution financially to make this rescaling a success.  Similarly, the Code  introduces 14-day notice to be given for strike.  This should be uniformly applied  for all sectors.  With regard to welfare related provisions, I would suggest for the  consideration of the Government to retain the provisions as mentioned in the  existing Factories Act.  Otherwise, this would impact the MSMEs the most.  My  second point is about overtime.  I would suggest that this should be paid out  monthly. I expect the Government to please act on them positively.","Tuesday, September 22, 2020",Union Budget,M,TDP,Issue
695,SHRI VINOD KUMAR SONKAR,"I would first like to point out that  Babasaheb Bhimrao Ambedkar Ji, as Labour Minister, was the first to bring labour  laws in this country. I would like to congratulate our Hon‟ble Prime Minister that  after Babasaheb Bhimrao Ambedkarji, a holistic law has been enacted for the  labourers of this country by this Government. The need for such a law was being  felt for a long time. Of course, it will also have industrial growth in the coming  time and more than 50 crore labourers will also be benefited in this country.  In  all,15  laws are being abolished through four codes. The Parliamentary Committee  related to Labour Department had made  233  suggestions and out of those   174   suggestions have been accepted. Now, under this law, an employer will have to  issue appointment letters to the labourers so that they can get all kinds of social and  legal benefits. Under this law, the Centre will constitute a Commission in the  interest of labourers,  industries, and trade. Similarly, the States will also constitute  the Advisory Board. The interests of unorganized labourers in the country will also  be protected after the enactment of this law. So, with this law,  we are going to  build a new India.   The youths are continuously being subjected to exploitation  due to outsourcing and contracts.  Hence, I would like to urge that a national policy  on contractual workers and outsourcing should be formulated in order to protect  the youths from exploitation in the country.","Tuesday, September 22, 2020",Union Budget,M,BJP,Appreciate
696,SHRI RAJU BISTA,"This Bill encapsulates the Prime Minister's vision of  Reform, Perform and Transform.  Never have I witnessed such a big reform even  after 72 years of the independence of India.  About 29 labour laws have been  merged into these four Labour Codes which will go a long way in ensuring the  wage security, social security and healthcare security for 50 crore labours of  organized and unorganized sectors.  Moreover, this Bill provides guarantee of  minimum wage to all the labourers.  It also provides guarantee of equal wage to  both men and women.  Every labourer will be provided the facility of health check  up once in a year.  All the labourers of organized and unorganized sectors will  avail of the benefit of pension (EPFO) scheme. With the passage of this Bill, no  employer will be able to make payment of wages in kinds more than 15 per cent  which stands to mean that all the labourers will receive Rs. 300 as minimum wage  in cash in West Bengal.  Now I would like to raise an issue of my Constituency  where the labourers do not have any right on land till today because land is a State  subject.  The laws enacted during British era are still in effect in West Bengal.  I  would like to request that on the lines of the FRA Act, 2006 a law is required to be  enacted to provide praja patta to the workers engaged in tea gardens and Cinchona  gardens.  With the passage of this Bill, I will certainly say this much to our people  that the hill will smile.","Tuesday, September 22, 2020",Union Budget,M,BJP,Call For Action
697,SHRIMATI NAVNEET RAVI RANA,"Today, a good piece of Bill has  been brought in by the Ministry of Labour and Employment and I support it.  Scant  amount is paid to the workers as pension which does not make their both ends  meet.  Hence, I would request the hon. Minister that he should accept their demand  of raising the amount of pension to Rs. 7000-8000.  Besides, I would like to  beseech the hon. Prime Minister to provide a House to every labourer.  A provision  should also be made in this Bill that the payment of wages to any labourer will not  be withheld in case they move to the court.","Tuesday, September 22, 2020",Union Budget,F,Independent,Call For Action
698,SHRI HANUMAN BENIWAL,"Today the Minister of Labour and  Employment has brought in three Bills in the Lok Sabha and all of the three Bills  are related to labourers.  One of them is the Industrial Relations Code, 2020.  Now,  the Company having less than 300 employees will not be able to lay off workers  without getting approval from the government.  The Code On Social Security,  2020 replaces 9 laws related to social security which will secure healthcare  facilities, income protection for the labourers.  To set up industrial edifice cannot  even be imagined without labourers.  The labourers working in heavy industries in  the country including Rajasthan are not being paid even the minimum wage despite  the provisions to this effect already exist.  Oil, Gas and Coal are extracted from  Barmer of our Rajasthan.  But the companies engaged there do not provide  employment to the people of that village.  Hence, I would like to request the hon.  Minister that the matter be looked into and ensure that 80 per cent local people are  provided employment.","Tuesday, September 22, 2020",Union Budget,M,RLP,Issue
699,SHRI RAMESH BIDHURI,"This Bill totally protects the interests of  farmers. About 40  crore workers are engaged in the unorganized sector in the  country. For the last 50 years, they were deprived of their rights. Now, an  employer will have to give a notice of 60 days before a labourer is removed from  the job. I have also been a Member of the Advisory Committee. I had suggested  that the workers should get the minimum wages. Therefore,  it should be added to  this Bill that every company or institution should display a board wherein it has to  be written that the minimum wage is paid here. Similarly, in every state, at least,  10 lawyers should be placed on the Government panel. If there is an accident with  a labourer, through these lawyers, they can get compensation. At the same time,  responsibility should be fixed for providing rights to the labourers.","Tuesday, September 22, 2020",Union Budget,M,BJP,Call For Action
700,SHRI JAGDAMBIKA PAL,"Two sectors are the most important in India.  One area relates to farmers and the other is about organised and unorganized  labourers. The labourers of this country have been struggling. Now, with the  passage of this Bill, there is going to be a radical change in the field of labour  reforms. The Law Commission and the Labour Commission had also made  suggestions for labour reforms in the year 2002.  This Government is making  endeavours to fulfill the dream of Hon‟ble Atal Ji, who dreamt of labour reforms.  So, of course, this is a historic moment.","Tuesday, September 22, 2020",Union Budget,M,BJP,Appreciate
701,SHRI MANOJ TIWARI,"A number of welfare scheme are there for construction  labourers.  However, certificate as a construction labourer is given to such people  as are not really in this field.  There should be a system to ensure that certificate to  this effect is not acquired by anyone to make use of the welfare fund meant for  construction workers.  Reportedly, about Rs.30,000 crore which accrues as  construction cess in Delhi is misappropriated or is not utilized. It is not proper to  use the word „migrant‟ workers for those who move from one state to another  within the country.  This Bill is historic and will ensure greater security to women  and all other people.","Tuesday, September 22, 2020",Union Budget,M,BJP,Issue
702,DR. NISHIKANT DUBEY,"Today is really a historic day as the efforts are  being made to address to the problems of the labourers and workers through these  Bill. These Bills were urgently required to be brought here. If you go through all  these enactments you will be able to assess how much substantial contribution has  been made by our hon. Prime Minister to the Indian culture,  Indian civilization  and Indian democracy. Today, the migrant labour is being talked about in the  country. But the way migrant labourers has been defined here has caused little pain  to me. How can we be a migrant in our own country? Hence, I would like to urge  upon the Government to take initiative towards changing this definition.","Tuesday, September 22, 2020",Union Budget,M,BJP,Issue
703,DR. SATYA PAL SINGH,"I would like to remind that the FCRA law was  enacted in the country on 05th  August, 1976. Certain amendments were made  therein in the years 2016 and 2018. Earlier, there was a provision in it that no  government servant can receive foreign any contribution and now the term the  government servant has been replaced by the public servant.  Many examples have  come to the fore that many NGOs were receiving foreign funds but were not  spending those funds for the designated purposes.  During the period from 2011 to  2019 about 19 thousand such organization have been traced.  At times, the funds  are there in the bank accounts of the NGO but there was no provision in the law to  shut down such organizations.  Now the Government has made a provision in this  Bill that all the NGOs will have to open an account in the State Bank of India in  Delhi.  I wholeheartedly welcome those NGOs which are doing good social work.   But there are certain NGOs which receive foreign contributions and use it against  the country and also use these funds for proselytization.  Therefore, it is very  necessary to initiate action against such NGOs.  During the last 20 years, a sum of  Rs. 2 lakh crore has been received as foreign contribution.  It has been very  categorically manifested in the minutes of Macaulay as to how the education will  be imparted in India to spread Christianity.  It is an open secret as to what  happened in the North-East.  The entire demographic graph has been altered in the  North-East during the last 50 years.  Therefore, I support these amendment.","Monday, September 21, 2020",Union Budget,M,BJP,Issue
704,DR. KALANIDHI VEERASWAMY,"This Government has been elected  for the second time with a huge majority and I congratulate it on that but what is  your agenda? The agenda is a Hindutva agenda where you are saying that you do  not want to have any conversions to happen. You have to understand as to why  people are getting converted. You have such a system in Hinduism where you call  people Dalits, you say that they are not allowed to enter temples, they are not  allowed to go into public wells where everyone is using them. When you have a  problem in your own religion, why would they not leave their religion? In spite of  centuries of rule by Islamic and Christian nations, Hinduism is still the largest  religion in India.  84 per cent of the population is Hindus. You are trying to  mobilise all those Hindus together. ","Monday, September 21, 2020",Union Budget,M,DMK,Blame
705,SHRI BELLANA CHANDRA SEKHAR,"The Bill prohibits acceptance of  foreign contribution by public servants as defined under the Indian Penal Code.  This would be extremely useful in preventing officers to accept undue favours  from sources that are not in favour of the country’s interest.  The Bill also says  that any person seeking prior permission, registration or renewal of registration  must provide the Aadhaar number of all its office bearers as this is also a good  move to increase transparency and we welcome it.  This Bill reduce the limit of  administrative expenses to 20 per cent which is a very good move.  This Bill was  much needed and our Party supports the Bill.","Monday, September 21, 2020",Union Budget,M,YSR Congress,Appreciate
706,SHRI SHRIRANG APPA BARNE,"As per the proposed Bill, all the  religious organization without any discrimination will continue to receive foreign  contributions as before.  However, the Government is also keeping in mind that if  the funds are received for a particular religious community then it should be  ensured that the money is used in the interest of that community.  At times, it has  been observed that the foreign contributions are used for proselytization.  The poor  and backward are lured for proselytization for monetary consideration.  This Bill  provides that all the office bearers of the NGOs will have to produce their Aadhaar  cards for registration.  This is the very integral part of the Bill.  I, therefore, support  this Bill.","Monday, September 21, 2020",Union Budget,M,Shiv Sena,Appreciate
707,SHRI KAUSHLENDRA KUMAR,"The government has proposed to amend 123  year old Epidemic Diseases Act, 1897 as nearly 180 or more countries of the world  are reeling under Covid-19 pandemic.  The number of Covid-19 patients in the  country is 54,78,000 out of which 43,96,399 patients recovered, active cases are  nearly 10,03,299 and 86961 people died of it.  The world Health Organisation has  declared Corona as pandemic in January.  The vaccine for it has not been  developed so far which is a matter of concern.  The Union Government and state  governments are working relentlessly to save the lives of people.  The ICMR is  fully vigilant and number of tests are being increased day by day.  I convey my  thanks to doctors and policemen for working 24 hours.  We have succeded with  hard work of all in preventing Covid-19 and saving lives of people.  I support the  Bill.","Monday, September 21, 2020",Union Budget,M,JDU,Appreciate
708,SHRI RITESH PANDEY,"I would like to say that Section7 of the previous  Act has been completely made defunct through Clause-3 of this Bill. This will no  longer allow any local trust receiving foreign contribution to transfer funds to any  other trust registered with FCRA. Similarly, my third point is that the Board  members will need to submit copy of Aadhaar card, Passport, OCI Card whereas  the Supreme Court in its judgment has said that Aadhaar card should not be made  mandatory. Also, in Sub-Section 1 of Section 15, it has been provided that the  acquired property will also have to be surrendered while surrendering the FCRA  registration. Similarly, centralization is being promoted by making provisions  regarding opening an account in State Bank of India in Delhi.","Monday, September 21, 2020",Union Budget,M,BSP,Issue
709,SHRIMATI SUPRIYA SADANAND SULE,"I support the Bill as it is  going to give breather to the companies reeling under distress.  At the same time,  there is a need to address the concerns of Foreign Investors also as the Government  is allowing FDI at a massive scale.  I would like to know the steps being  undertaken by the Government to generate employment opportunities in view of  mammoth dimension of unemployment.  This apart, resolution of cases must be   our top priority.  I would like to know the corrective measures having been  undertaken to support both public and private sector without any discrimination.   Jet Airways vis-a-vis  Air India is a case in point.  I reiterate my demand to do  something concrete in order to generate employment as it is critical to the growth  of economy.","Monday, September 21, 2020",Union Budget,F,NCP,Call For Action
710,DR. NISHIKANT DUBEY,"When IBC law was introduced, it created a  different kind of atmosphere in the country.  When our Prime Minister took charge,  things were alarming.  There was a Lok Adalat system by which one may make  recovery.  If Rs.100 was to be recovered by a bank, it has recovered only Rs.5.   Recovery of 5.3 per cent has been carried out through Lok Adalats.  IBC law  brought in the year 2016, its recovery rate was 42.5 per cent to 45 per cent.  The  Opposition is saying as to why the Government bring this Ordinance?  What has  happened due to Covid-19, whole country is witnessing this.  During lockdown,  shops and factories were closed not only in India but in the whole world.  Now,  OECD report reveals that at least 5 per cent unemployment will increase in the  entire world this year.  Whether this is not necessary to eradicate unemployment by  saving companies?  There is not a single country where GDP loss has not noticed.   The level of liquidation will not be more than 8,9,10 per cent.  Whether do you  want that this amendment not be made in this law and companies go into   liquidation?","Monday, September 21, 2020",Union Budget,M,BJP,Issue
711,SHRIMATI PRATIMA MONDAL,"The spread of Corona virus pandemic  across the globe followed by subsequent lockdowns has adversely affected  business operations across the world.  In order to provide  relief to these sectors,  assistance through amendment of certain laws were obviously the need of the hour  but not the ones like amendment to IBC, 2020.  It is a classic example of good  intentions but bad drafting. It has been done in a harried manner.  The conflict  between the main Section and the proviso must be corrected immediately to avoid  further confusion.  I would humbly request the Minister to provide clarification on  this matter.  The Bill is not particularly concerned with small scale industries or  MSMEs.  Though, the notification dated 24th March, 2020 was intended to benefit  the MSMEs, it is not in line with such intention.","Monday, September 21, 2020",Union Budget,F,TMC,Blame
712,SHRI BALASHOWRY VALLABHANENI,"It is welcome that the Bill  seeks to temporarily suspend initiation of the Corporate Insolvency Resolution  Process.  So, I, on behalf of my Party, welcome this move.  The changes are good,  and it will help strengthening of Code for better implementation.  My basic point is  that there are some resolution which are genuine and perfect in all respects.  But  some dishonest people or companies challenge and take them to  higher courts  through silly petitions.  My second point is, why can the banks not allow the  original promoters to participate in bidding. I am requesting the hon. Finance  Minister, through you, to look this option so as to reduce the losses to Banks.  Nearly 11,000 cases under IBC and 9,000 cases related to the Companies are lying  pending before the NCLTs.  I would like to know as to how the Minister is going  to solve this problem.","Monday, September 21, 2020",Union Budget,M,YSR Congress,Call For Action
713,SHRI CHANDESHWAR PRASAD,"Several companies in Bihar including  those operating in my Parliamentary Constituency, Jahanabad had been under  distress due to Covid-19 situation which necessitated resorting to the promulgation  of an Ordinance as an immediate step.  This Ordinance was meant to give relief to  the companies defaulting under circumstantial compulsions and this Bill will  hugely benefit the borrowers and the companies both.  I support the Bill.","Monday, September 21, 2020",Union Budget,M,JDU,Appreciate
714,SHRI PINAKI MISRA,"Undoubtedly, an Ordinance was the need of the  hour and a moratorium was essentially called for to cope with force majeure.   Other countries have also given similar moratorium.  Having said that, I would like  to seek some clarifications from the hon. Minister.  In the first place, how would  the Government identify and differentiate between the Covid-19 defaults and the  related defaults.  The Government needs to clarify on this because a few other  countries have also required the companies to prove that they were liquid as of 31st  Dec, 2019.  Secondly, the Chairman, NCLAT is the captain of the ship who is  supposed to guide the NCLAT as well as the NCLTs all over the country.  The fact  is that the post of chairman has been lying vacant for long which needs to be filled  up immediately.  Unless we have a proper infrastructure and super structure in  place, there is going to be serious problems.  Besides, the IDBI which has been  entrusted with the power to educate Resolution Professionals should act  responsibly since these professionals get their skin in the game and are not willing  to let go of their control over the companies.","Monday, September 21, 2020",Union Budget,M,BJD,Issue
715,SHRI SHYAM SINGH YADAV,"Several companies are reported to siphon  off hard earned money of the investors and the more we rein in such companies,  the better it is for the economy of the country.  The rate of recovery has dipped to  42 to 45 per cent.  In such a scenario, this Bill was necessary.  However, I have a  few reservations about the provisions made in the Bill.  The word 'certain situation'  figuring in the Bill is ambiguous and runs the risk of being manipulated by those in  power in connivance with financial institutions and companies.  Besides, I doubt  the companies making huge donations to the political parties through electoral  bonds must have been reaping huge benefits from the ruling party in some way or  the other.  So, therefore, the name of persons and entities donating through  electoral bonds must be made public and the process be made transparent. The  conditions should be all the more stringent and so many concessions must not be  given on the pretext of Covid-19 pandemic.","Monday, September 21, 2020",Union Budget,M,BSP,Issue
